beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,25,199,-174,174,False
2.45,25,199,-174,174,False
2.4,29,199,-170,170,False
2.35,30,199,-169,169,False
2.3,32,199,-167,167,False
2.25,32,199,-167,167,False
2.2,32,199,-167,167,False
2.15,32,199,-167,167,False
2.1,34,199,-165,165,False
2.05,34,199,-165,165,False
2.0,34,199,-165,165,False
1.95,35,199,-164,164,False
1.9,39,199,-160,160,False
1.85,39,199,-160,160,False
1.8,40,199,-159,159,False
1.75,40,199,-159,159,False
1.7,41,199,-158,158,False
1.65,43,199,-156,156,False
1.6,44,199,-155,155,False
1.55,47,199,-152,152,False
1.5,47,199,-152,152,False
1.45,49,199,-150,150,False
1.4,52,199,-147,147,False
1.35,55,199,-144,144,False
1.3,58,199,-141,141,False
1.25,65,199,-134,134,False
1.2,65,199,-134,134,False
1.15,68,199,-131,131,False
1.1,72,199,-127,127,False
1.05,75,199,-124,124,False
1.0,79,199,-120,120,False
0.95,81,199,-118,118,False
0.9,89,199,-110,110,False
0.85,100,199,-99,99,False
0.8,105,199,-94,94,False
0.75,111,199,-88,88,False
0.7,115,199,-84,84,False
0.65,119,199,-80,80,False
0.6,135,199,-64,64,False
0.55,152,199,-47,47,True
0.5,166,199,-33,33,True
0.45,185,199,-14,14,True
0.4,210,199,11,11,True
0.35,238,199,39,39,True
0.3,275,199,76,76,False
0.25,322,199,123,123,False
0.2,364,199,165,165,False
0.15,431,199,232,232,False
0.1,485,199,286,286,False
0.05,516,199,317,317,False
0.0,526,199,327,327,False
