beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,458,937,-479,479,False
2.45,469,937,-468,468,False
2.4,477,937,-460,460,False
2.35,486,937,-451,451,False
2.3,494,937,-443,443,False
2.25,499,937,-438,438,False
2.2,508,937,-429,429,False
2.15,516,937,-421,421,False
2.1,528,937,-409,409,False
2.05,544,937,-393,393,False
2.0,557,937,-380,380,False
1.95,574,937,-363,363,False
1.9,591,937,-346,346,False
1.85,604,937,-333,333,False
1.8,625,937,-312,312,False
1.75,648,937,-289,289,False
1.7,667,937,-270,270,False
1.65,691,937,-246,246,False
1.6,708,937,-229,229,False
1.55,727,937,-210,210,False
1.5,757,937,-180,180,False
1.45,789,937,-148,148,False
1.4,809,937,-128,128,False
1.35,831,937,-106,106,False
1.3,842,937,-95,95,False
1.25,864,937,-73,73,False
1.2,885,937,-52,52,False
1.15,916,937,-21,21,True
1.1,940,937,3,3,True
1.05,980,937,43,43,True
1.0,1008,937,71,71,False
