beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,530,581,-51,51,False
2.45,543,581,-38,38,True
2.4,551,581,-30,30,True
2.35,556,581,-25,25,True
2.3,567,581,-14,14,True
2.25,573,581,-8,8,True
2.2,584,581,3,3,True
2.15,590,581,9,9,True
2.1,599,581,18,18,True
2.05,610,581,29,29,True
2.0,620,581,39,39,True
1.95,632,581,51,51,False
1.9,645,581,64,64,False
1.85,654,581,73,73,False
1.8,667,581,86,86,False
1.75,683,581,102,102,False
1.7,694,581,113,113,False
1.65,707,581,126,126,False
1.6,725,581,144,144,False
1.55,737,581,156,156,False
1.5,753,581,172,172,False
1.45,768,581,187,187,False
1.4,784,581,203,203,False
1.35,805,581,224,224,False
1.3,824,581,243,243,False
1.25,835,581,254,254,False
1.2,861,581,280,280,False
1.15,888,581,307,307,False
1.1,917,581,336,336,False
1.05,939,581,358,358,False
1.0,963,581,382,382,False
