beta,selected_peaks,target_peaks,difference,absolute_difference,within_tolerance
2.5,589,845,-256,256,False
2.45,599,845,-246,246,False
2.4,616,845,-229,229,False
2.35,626,845,-219,219,False
2.3,638,845,-207,207,False
2.25,647,845,-198,198,False
2.2,670,845,-175,175,False
2.15,686,845,-159,159,False
2.1,700,845,-145,145,False
2.05,724,845,-121,121,False
2.0,734,845,-111,111,False
1.95,755,845,-90,90,False
1.9,760,845,-85,85,False
1.85,778,845,-67,67,False
1.8,796,845,-49,49,True
1.75,817,845,-28,28,True
1.7,834,845,-11,11,True
1.65,859,845,14,14,True
1.6,875,845,30,30,True
1.55,896,845,51,51,False
1.5,908,845,63,63,False
1.45,931,845,86,86,False
1.4,955,845,110,110,False
1.35,971,845,126,126,False
1.3,994,845,149,149,False
1.25,1012,845,167,167,False
1.2,1045,845,200,200,False
1.15,1068,845,223,223,False
1.1,1092,845,247,247,False
1.05,1121,845,276,276,False
1.0,1151,845,306,306,False
