dataset,section,mSCF1,F1_0.3,F1_0.4,F1_0.5,F1_0.6
GBM,GBM12_1,0.2125475053286987,0.26881720430107525,0.270979020979021,0.21112372304199772,0.09927007299270073
GBM,GBM12_2,0.4144009564956283,0.371914426769062,0.4167237834132968,0.43676222596964587,0.4322033898305085
GBM,GBM22_1,0.34936982446515874,0.3698781838316722,0.3682008368200837,0.3443596268023749,0.3150406504065041
GBM,GBM22_2,0.3695813404603719,0.36286472148541116,0.37889039242219213,0.375,0.3615702479338843
GBM,GBM39_1,0.31473381400955225,0.38328358208955227,0.3545586107091172,0.29426860564585117,0.22682445759368836
GBM,GBM39_2,0.3922461279500583,0.39085714285714285,0.4,0.3973619126133553,0.380765456329735
GBM,GBM108_positive,0.40419659169145417,0.46122448979591835,0.47704770477047703,0.4244521337946944,0.25406203840472674
GBM,GBM108_negative,0.4571079067513546,0.4099722991689751,0.4645161290322581,0.48533333333333334,0.46860986547085204
CAC,40TopL,0.21535200754301875,0.16615384615384615,0.20224719101123595,0.20512820512820512,0.2878787878787879
CAC,160TopL,0.34389849641888187,0.2328042328042328,0.2535211267605634,0.4155844155844156,0.47368421052631576
CAC,200TopL,0.2547053188189786,0.21296296296296297,0.25149700598802394,0.23728813559322035,0.3170731707317073
CAC,240TopL,0.14424887561748875,0.08,0.10101010101010101,0.145985401459854,0.25
CAC,280TopL,0.15294831958284225,0.14207650273224043,0.18823529411764706,0.14814814814814814,0.13333333333333333
CAC,360TopL,0.19187853138220193,0.12396694214876033,0.15730337078651685,0.18487394957983194,0.3013698630136986
CAC,400TopL,0.27203956879104535,0.21935483870967742,0.23636363636363636,0.30985915492957744,0.3225806451612903
CAC,520TopL,0.17580643943889546,0.13970588235294118,0.1552511415525114,0.18604651162790697,0.2222222222222222
