dataset,section,mSCF1,F1_0.3,F1_0.4,F1_0.5,F1_0.6
GBM,GBM12_1,0.2446683586698211,0.32213209733487835,0.3068017366136035,0.23056300268096513,0.11917659804983749
GBM,GBM12_2,0.47753308975405384,0.5130845130845131,0.5094051855617692,0.4757969303423849,0.4118457300275482
GBM,GBM22_1,0.3807384391664672,0.42905899561189664,0.4097677188802859,0.3651685393258427,0.3189585028478438
GBM,GBM22_2,0.4691431120996832,0.5210289914250714,0.49853085210577863,0.4614512471655329,0.39556135770234985
GBM,GBM39_1,0.31481319333136376,0.3836104513064133,0.35514018691588783,0.2937181663837012,0.22678396871945258
GBM,GBM39_2,0.46866927385638385,0.5144995322731525,0.5,0.4522173641474079,0.4079601990049751
GBM,GBM108_positive,0.40997232204746964,0.484251968503937,0.4875536480686695,0.4191096634093377,0.24897400820793433
GBM,GBM108_negative,0.547761301493713,0.6069086139046787,0.5977623867874268,0.5438705662725576,0.44250363901018924
CAC,40TopL,0.47770960267644963,0.5816993464052288,0.5306859205776173,0.43568464730290457,0.3627684964200477
CAC,160TopL,0.3575867998390728,0.5508021390374331,0.4831804281345566,0.29770992366412213,0.09865470852017937
CAC,200TopL,0.426353031574464,0.5230024213075061,0.4725274725274725,0.3873015873015873,0.3225806451612903
CAC,240TopL,0.39821430036614663,0.46963562753036436,0.46153846153846156,0.38320209973753283,0.27848101265822783
CAC,280TopL,0.3193711644976863,0.5617433414043583,0.33015873015873015,0.21830985915492956,0.16727272727272727
CAC,360TopL,0.40149848545154737,0.5412262156448203,0.4547677261613692,0.36,0.25
CAC,400TopL,0.32568790925416213,0.4830188679245283,0.4,0.32044198895027626,0.09929078014184398
CAC,520TopL,0.5124106607211478,0.5896907216494846,0.5416666666666666,0.4935064935064935,0.4247787610619469
