rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,82758,734.5697631835938,1.0,0,0.8845103856655493,-0.8845103856655493
2,82576,713.4511108398438,0.8143771366410183,1,0.850649617974775,-0.850649617974775
3,81717,616.1770629882812,0.872331786922825,0,0.32819134597088784,-0.32819134597088784
4,80960,551.50341796875,0.663295646177311,1,0.854823481606244,-0.854823481606244
5,79415,449.0477600097656,0.6455799039406178,0,-0.6583247377381392,0.6583247377381392
6,82420,697.4774780273438,0.49965778261615523,1,0.8303921464242092,-0.8303921464242092
7,82539,710.488525390625,0.4983679729287196,0,0.9033926417773823,-0.9033926417773823
8,82063,651.5342407226562,0.48181088178098813,1,0.8138586326577547,-0.8138586326577547
9,79889,478.3293762207031,0.4966527125859622,0,0.7512155135291781,-0.7512155135291781
10,79668,465.0216979980469,0.3597323423185078,1,-0.6648353721256238,0.6648353721256238
11,80180,496.33990478515625,0.4643607138958629,0,0.7116933393534542,-0.7116933393534542
12,82589,714.4548950195312,0.34495138990376295,1,0.8547575206256461,-0.8547575206256461
13,82728,731.6066284179688,0.4229960430084052,0,0.9138659886091617,-0.9138659886091617
14,81742,617.1839599609375,0.33767671098158175,1,0.31385770796699436,-0.31385770796699436
15,81869,627.5347290039062,0.34355848160681146,0,0.7177503700168602,-0.7177503700168602
16,80295,503.94818115234375,0.33538852262253166,1,-0.5845587428376923,0.5845587428376923
17,81741,617.1803588867188,0.33108314038097864,0,0.30685220249033274,-0.30685220249033274
18,78981,428.0367126464844,0.29973994213905714,1,-0.3957772249341806,0.3957772249341806
19,82380,694.5144653320312,0.3028349252265037,0,0.8855390400537275,-0.8855390400537275
20,82775,735.5729370117188,0.2866296801659208,1,0.8821648553167275,-0.8821648553167275
21,80920,548.540283203125,0.2675045573627333,0,0.9163735327492623,-0.9163735327492623
22,82739,732.5538940429688,0.2708333471935255,1,-0.5470665101745389,0.5470665101745389
23,80375,508.0030212402344,0.265574746206746,0,-0.7779618291281019,0.7779618291281019
24,80978,552.5068969726562,0.25717130036913943,1,0.8547358592198631,-0.8547358592198631
