rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,81717,616.1770629882812,1.0,0,-0.5248294455562708,0.5248294455562709
2,81741,617.1803588867188,0.435466739317363,1,-0.5111221388520459,0.511122138852046
3,82576,713.4511108398438,0.59463214874892,0,0.7400948331231524,-0.7400948331231525
4,79415,449.0477600097656,0.4569525715497621,1,-0.6179131552852114,0.6179131552852115
5,82063,651.5342407226562,0.3050386945895897,0,0.7397154844507319,-0.739715484450732
6,81742,617.1839599609375,0.329106108650263,1,-0.5065217757650217,0.5065217757650218
7,82539,710.488525390625,0.2861600477117029,0,0.6739868083235718,-0.6739868083235719
8,81268,577.518798828125,0.2595070188599154,1,0.6009940257818416,-0.6009940257818416
9,82589,714.4548950195312,0.2395082826491382,0,0.7473838259209445,-0.7473838259209447
10,82758,734.5697631835938,0.24623794324634624,1,0.711632029840975,-0.7116320298409752
11,80960,551.50341796875,0.21861098023921327,0,0.6785989187476664,-0.6785989187476663
12,81018,557.1637573242188,0.21350199026859887,1,-0.5203914244539605,0.5203914244539605
13,79889,478.3293762207031,0.18441602937114618,0,0.6280260529289174,-0.6280260529289176
14,81763,617.9797973632812,0.2085033437569171,1,0.36933020856086496,-0.369330208560865
15,78026,399.1444091796875,0.1436349197142422,0,-0.5211072414110623,0.5211072414110625
16,81301,580.0238037109375,0.19145408431400343,1,0.38685152587904204,-0.386851525879042
17,82079,652.5381469726562,0.1368839788599579,0,0.7410344781508665,-0.7410344781508666
18,82672,725.5563354492188,0.15165628636305437,1,-0.7002216621529015,0.7002216621529016
19,78453,409.0555419921875,0.1426262906337372,0,-0.25913344069914396,0.259133440699144
20,78836,423.98193359375,0.12484050983791528,1,0.3338235087411838,-0.3338235087411838
21,80180,496.33990478515625,0.1326201813243983,0,0.316317545577986,-0.3163175455779861
22,81296,579.53466796875,0.1187141203343296,1,0.7249405725341926,-0.7249405725341926
23,79668,465.0216979980469,0.12882714898377773,0,-0.5221559706551716,0.5221559706551716
24,81540,602.0059814453125,0.11611499979821333,1,0.1708698099668008,-0.17086980996680082
25,79421,449.2068176269531,0.10859343529954324,0,-0.026196152169140414,0.026196152169140407
26,82300,682.45703125,0.11246840830111023,1,-0.6694348047850857,0.6694348047850858
27,79805,472.00042724609375,0.10677307441573802,0,-0.461103388352834,0.46110338835283404
28,82455,703.5741577148438,0.11215379814790187,1,-0.6769263333136928,0.6769263333136929
29,81766,618.1878662109375,0.09418028782170171,0,-0.48968700935125287,0.48968700935125287
30,80794,542.0684204101562,0.11166800657138813,1,0.4166704598013363,-0.41667045980133627
31,82551,711.4911499023438,0.09080732165402468,0,0.6760891569437907,-0.6760891569437908
32,79394,448.34222412109375,0.10687924068181187,1,0.20571557852621558,-0.20571557852621564
33,79440,450.0509948730469,0.08678261640047086,0,-0.6022928531473392,0.6022928531473394
34,76863,366.9617614746094,0.10497953720142458,1,-0.15547290736932223,0.1554729073693222
35,80053,487.9745178222656,0.08623118113508874,0,-0.35123247874064434,0.35123247874064434
36,79665,464.9471130371094,0.09054196780563908,1,-0.5969998057977056,0.5969998057977057
37,78452,409.0516357421875,0.08490801583652764,0,-0.08274101006717056,0.08274101006717054
38,81284,578.5226440429688,0.0883587301626558,1,0.6015568812406326,-0.6015568812406326
39,82420,697.4774780273438,0.08043418076643329,0,0.6019939087777652,-0.6019939087777653
40,78981,428.0367126464844,0.08814098042242101,1,-0.0518172353750287,0.0518172353750287
41,80978,552.5068969726562,0.07872062677121869,0,0.6761033760543317,-0.6761033760543318
42,82728,731.6066284179688,0.08517084501850536,1,0.6307097966644801,-0.6307097966644801
43,80403,509.95611572265625,0.07871560935616245,0,-0.458817590577704,0.45881759057770405
44,80212,498.1500244140625,0.08190645377854255,1,-0.5053167232253131,0.5053167232253131
45,80536,522.3552856445312,0.07545235021414755,0,0.42637633964021926,-0.42637633964021937
46,77564,386.02606201171875,0.07972122075203364,1,0.2245078081773073,-0.2245078081773073
