rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,81717,616.1770629882812,1.0,0,-0.5248294455562708,0.5248294455562709
2,82576,713.4511108398438,0.6755609489552625,1,0.7400948331231524,-0.7400948331231525
3,79415,449.0477600097656,0.46231500484308297,0,-0.6179131552852114,0.6179131552852115
4,81741,617.1803588867188,0.46361473302714473,1,-0.5111221388520459,0.511122138852046
5,79889,478.3293762207031,0.43296407851268753,0,0.6280260529289174,-0.6280260529289176
6,81268,577.518798828125,0.36733185508512545,1,0.6009940257818416,-0.6009940257818416
7,78453,409.0555419921875,0.3332670791083596,0,-0.25913344069914396,0.259133440699144
8,80960,551.50341796875,0.30719923361174944,0,0.6785989187476664,-0.6785989187476663
9,82758,734.5697631835938,0.2789540393099696,1,0.711632029840975,-0.7116320298409752
10,82589,714.4548950195312,0.28404433802531526,0,0.7473838259209445,-0.7473838259209447
11,81763,617.9797973632812,0.2301649182876378,1,0.36933020856086496,-0.369330208560865
12,82539,710.488525390625,0.26507276826597953,0,0.6739868083235718,-0.6739868083235719
13,81018,557.1637573242188,0.22737009072261927,1,-0.5203914244539605,0.5203914244539605
14,82063,651.5342407226562,0.24240909013399883,0,0.7397154844507319,-0.739715484450732
15,81301,580.0238037109375,0.1997351212055534,1,0.38685152587904204,-0.386851525879042
16,79668,465.0216979980469,0.16041795079286905,0,-0.5221559706551716,0.5221559706551716
17,82672,725.5563354492188,0.16548172546143353,1,-0.7002216621529015,0.7002216621529016
18,79394,448.34222412109375,0.16325572972468722,1,0.20571557852621558,-0.20571557852621564
19,78026,399.1444091796875,0.13605803243748402,0,-0.5211072414110623,0.5211072414110625
20,82420,697.4774780273438,0.16127324973103294,1,0.6019939087777652,-0.6019939087777653
21,81284,578.5226440429688,0.1346104621450044,0,0.6015568812406326,-0.6015568812406326
22,81296,579.53466796875,0.15783389970963846,1,0.7249405725341926,-0.7249405725341926
23,78836,423.98193359375,0.11874764165040202,0,0.3338235087411838,-0.3338235087411838
24,82300,682.45703125,0.1455669730787149,1,-0.6694348047850857,0.6694348047850858
25,81869,627.5347290039062,0.12689611482240354,0,0.633214827562857,-0.6332148275628571
26,80180,496.33990478515625,0.14331570931056173,1,0.316317545577986,-0.3163175455779861
27,79421,449.2068176269531,0.1103178532076365,0,-0.026196152169140414,0.026196152169140407
28,81540,602.0059814453125,0.14007309207946456,1,0.1708698099668008,-0.17086980996680082
29,80978,552.5068969726562,0.10864191178535712,0,0.6761033760543317,-0.6761033760543318
30,78981,428.0367126464844,0.12736819496565155,1,-0.0518172353750287,0.0518172353750287
31,82079,652.5381469726562,0.10769077549353076,0,0.7410344781508665,-0.7410344781508666
32,80794,542.0684204101562,0.12445191501478621,1,0.4166704598013363,-0.41667045980133627
33,81766,618.1878662109375,0.10360609438145783,0,-0.48968700935125287,0.48968700935125287
34,80569,524.370849609375,0.1193786179980583,1,-0.1283103461048444,0.12831034610484443
35,77564,386.02606201171875,0.08794541521181123,0,0.2245078081773073,-0.2245078081773073
36,79665,464.9471130371094,0.11910311353817657,1,-0.5969998057977056,0.5969998057977057
37,79906,479.33251953125,0.10723819735926292,0,0.6265838667365297,-0.6265838667365297
38,82455,703.5741577148438,0.11879399692321786,1,-0.6769263333136928,0.6769263333136929
39,82551,711.4911499023438,0.08066651980191565,0,0.6760891569437907,-0.6760891569437908
40,82380,694.5144653320312,0.11157532620984906,1,0.5397878107309575,-0.5397878107309574
41,81118,564.2484130859375,0.11046487696502366,0,0.7683035940316644,-0.7683035940316646
42,80403,509.95611572265625,0.1052199580824743,1,-0.458817590577704,0.45881759057770405
43,78162,402.0212097167969,0.0915453533495477,0,0.4672959889797055,-0.4672959889797055
44,81836,623.5029907226562,0.104465321123774,1,0.6085982269308853,-0.6085982269308854
45,82600,715.4495239257812,0.07184679833171005,0,0.7476533835038701,-0.7476533835038701
46,81425,589.9224853515625,0.1043260545575813,1,-0.5015834654976602,0.5015834654976602
47,82601,715.4579467773438,0.07061360617493974,0,0.7526491204992178,-0.752649120499218
48,82198,666.4834594726562,0.10387924244574015,1,-0.6686293057086886,0.6686293057086887
49,79440,450.0509948730469,0.09239445521460947,0,-0.6022928531473392,0.6022928531473394
50,80589,525.9302368164062,0.09495107375953954,1,-0.2974014209273516,0.29740142092735156
