bin_index,run_count,fraction
61508,4,1.0
66894,4,1.0
69318,4,1.0
70467,4,1.0
71906,4,1.0
72044,4,1.0
72290,4,1.0
72502,4,1.0
72503,4,1.0
72504,4,1.0
72547,4,1.0
72548,4,1.0
73170,4,1.0
74140,4,1.0
74198,4,1.0
74811,4,1.0
75392,4,1.0
75549,4,1.0
75874,4,1.0
75924,4,1.0
75950,4,1.0
76139,4,1.0
76161,4,1.0
76357,4,1.0
76358,4,1.0
76361,4,1.0
76372,4,1.0
76373,4,1.0
76374,4,1.0
76502,4,1.0
76503,4,1.0
76554,4,1.0
76714,4,1.0
76715,4,1.0
76728,4,1.0
76729,4,1.0
76730,4,1.0
76738,4,1.0
76862,4,1.0
76863,4,1.0
76864,4,1.0
76890,4,1.0
76892,4,1.0
76895,4,1.0
76940,4,1.0
76944,4,1.0
76945,4,1.0
76946,4,1.0
76993,4,1.0
77038,4,1.0
77056,4,1.0
77129,4,1.0
77200,4,1.0
77415,4,1.0
77480,4,1.0
77481,4,1.0
77519,4,1.0
77546,4,1.0
77563,4,1.0
77564,4,1.0
77565,4,1.0
77584,4,1.0
77601,4,1.0
77643,4,1.0
77646,4,1.0
77679,4,1.0
77704,4,1.0
77738,4,1.0
77744,4,1.0
77778,4,1.0
77858,4,1.0
77895,4,1.0
77972,4,1.0
78026,4,1.0
78027,4,1.0
78049,4,1.0
78066,4,1.0
78088,4,1.0
78111,4,1.0
78162,4,1.0
78163,4,1.0
78201,4,1.0
78203,4,1.0
78231,4,1.0
78239,4,1.0
78268,4,1.0
78270,4,1.0
78300,4,1.0
78308,4,1.0
78332,4,1.0
78334,4,1.0
78373,4,1.0
78452,4,1.0
78453,4,1.0
78454,4,1.0
78503,4,1.0
78662,4,1.0
78671,4,1.0
78728,4,1.0
78758,4,1.0
78803,4,1.0
78835,4,1.0
78836,4,1.0
78861,4,1.0
78874,4,1.0
78903,4,1.0
78932,4,1.0
78946,4,1.0
78951,4,1.0
78967,4,1.0
78980,4,1.0
78981,4,1.0
79013,4,1.0
79088,4,1.0
79093,4,1.0
79108,4,1.0
79163,4,1.0
79180,4,1.0
79233,4,1.0
79265,4,1.0
79271,4,1.0
79285,4,1.0
79288,4,1.0
79367,4,1.0
79383,4,1.0
79394,4,1.0
79412,4,1.0
79415,4,1.0
79421,4,1.0
79426,4,1.0
79438,4,1.0
79440,4,1.0
79447,4,1.0
79525,4,1.0
79539,4,1.0
79556,4,1.0
79579,4,1.0
79627,4,1.0
79643,4,1.0
79653,4,1.0
79665,4,1.0
79668,4,1.0
79689,4,1.0
79692,4,1.0
79717,4,1.0
79760,4,1.0
79790,4,1.0
79792,4,1.0
79805,4,1.0
79880,4,1.0
79888,4,1.0
79889,4,1.0
79890,4,1.0
79905,4,1.0
79906,4,1.0
79911,4,1.0
79926,4,1.0
79948,4,1.0
79958,4,1.0
79969,4,1.0
79988,4,1.0
79992,4,1.0
80012,4,1.0
80022,4,1.0
80037,4,1.0
80039,4,1.0
80053,4,1.0
80137,4,1.0
80152,4,1.0
80154,4,1.0
80168,4,1.0
80180,4,1.0
80195,4,1.0
80198,4,1.0
80206,4,1.0
80211,4,1.0
80212,4,1.0
80226,4,1.0
80227,4,1.0
80272,4,1.0
80274,4,1.0
80275,4,1.0
80276,4,1.0
80288,4,1.0
80295,4,1.0
80297,4,1.0
80313,4,1.0
80359,4,1.0
80375,4,1.0
80385,4,1.0
80403,4,1.0
80413,4,1.0
80420,4,1.0
80421,4,1.0
80470,4,1.0
80480,4,1.0
80487,4,1.0
80489,4,1.0
80509,4,1.0
80510,4,1.0
80523,4,1.0
80536,4,1.0
80550,4,1.0
80556,4,1.0
80565,4,1.0
80569,4,1.0
80588,4,1.0
80589,4,1.0
80599,4,1.0
80605,4,1.0
80660,4,1.0
80665,4,1.0
80666,4,1.0
80676,4,1.0
80706,4,1.0
80716,4,1.0
80717,4,1.0
80744,4,1.0
80781,4,1.0
80789,4,1.0
80794,4,1.0
80803,4,1.0
80804,4,1.0
80805,4,1.0
80816,4,1.0
80818,4,1.0
80821,4,1.0
80824,4,1.0
80839,4,1.0
80842,4,1.0
80857,4,1.0
80858,4,1.0
80859,4,1.0
80874,4,1.0
80889,4,1.0
80913,4,1.0
80920,4,1.0
80926,4,1.0
80927,4,1.0
80930,4,1.0
80940,4,1.0
80947,4,1.0
80955,4,1.0
80960,4,1.0
80966,4,1.0
80967,4,1.0
80978,4,1.0
80997,4,1.0
81005,4,1.0
81017,4,1.0
81018,4,1.0
81019,4,1.0
81029,4,1.0
81033,4,1.0
81045,4,1.0
81063,4,1.0
81085,4,1.0
81095,4,1.0
81106,4,1.0
81117,4,1.0
81118,4,1.0
81119,4,1.0
81132,4,1.0
81135,4,1.0
81160,4,1.0
81172,4,1.0
81173,4,1.0
81202,4,1.0
81208,4,1.0
81209,4,1.0
81228,4,1.0
81229,4,1.0
81245,4,1.0
81254,4,1.0
81255,4,1.0
81265,4,1.0
81267,4,1.0
81268,4,1.0
81284,4,1.0
81295,4,1.0
81296,4,1.0
81301,4,1.0
81307,4,1.0
81308,4,1.0
81313,4,1.0
81319,4,1.0
81333,4,1.0
81347,4,1.0
81352,4,1.0
81372,4,1.0
81375,4,1.0
81387,4,1.0
81388,4,1.0
81389,4,1.0
81393,4,1.0
81411,4,1.0
81418,4,1.0
81424,4,1.0
81425,4,1.0
81477,4,1.0
81492,4,1.0
81500,4,1.0
81501,4,1.0
81508,4,1.0
81514,4,1.0
81523,4,1.0
81525,4,1.0
81528,4,1.0
81536,4,1.0
81540,4,1.0
81541,4,1.0
81542,4,1.0
81543,4,1.0
81544,4,1.0
81548,4,1.0
81552,4,1.0
81557,4,1.0
81561,4,1.0
81578,4,1.0
81592,4,1.0
81594,4,1.0
81595,4,1.0
81640,4,1.0
81652,4,1.0
81661,4,1.0
81673,4,1.0
81682,4,1.0
81694,4,1.0
81695,4,1.0
81696,4,1.0
81702,4,1.0
81714,4,1.0
81715,4,1.0
81717,4,1.0
81720,4,1.0
81741,4,1.0
81742,4,1.0
81745,4,1.0
81763,4,1.0
81766,4,1.0
81772,4,1.0
81781,4,1.0
81784,4,1.0
81785,4,1.0
81795,4,1.0
81816,4,1.0
81836,4,1.0
81841,4,1.0
81850,4,1.0
81869,4,1.0
81871,4,1.0
81873,4,1.0
81875,4,1.0
81883,4,1.0
81890,4,1.0
81894,4,1.0
81906,4,1.0
81908,4,1.0
81925,4,1.0
81933,4,1.0
81936,4,1.0
81964,4,1.0
81970,4,1.0
81973,4,1.0
82004,4,1.0
82009,4,1.0
82050,4,1.0
82055,4,1.0
82057,4,1.0
82063,4,1.0
82079,4,1.0
82085,4,1.0
82086,4,1.0
82098,4,1.0
82105,4,1.0
82107,4,1.0
82109,4,1.0
82130,4,1.0
82147,4,1.0
82176,4,1.0
82198,4,1.0
82204,4,1.0
82228,4,1.0
82300,4,1.0
82315,4,1.0
82336,4,1.0
82344,4,1.0
82359,4,1.0
82377,4,1.0
82380,4,1.0
82392,4,1.0
82420,4,1.0
82426,4,1.0
82429,4,1.0
82444,4,1.0
82455,4,1.0
82468,4,1.0
82478,4,1.0
82486,4,1.0
82497,4,1.0
82500,4,1.0
82539,4,1.0
82551,4,1.0
82567,4,1.0
82568,4,1.0
82573,4,1.0
82574,4,1.0
82575,4,1.0
82576,4,1.0
82580,4,1.0
82581,4,1.0
82589,4,1.0
82600,4,1.0
82601,4,1.0
82608,4,1.0
82636,4,1.0
82644,4,1.0
82651,4,1.0
82659,4,1.0
82660,4,1.0
82666,4,1.0
82667,4,1.0
82669,4,1.0
82670,4,1.0
82671,4,1.0
82672,4,1.0
82684,4,1.0
82685,4,1.0
82700,4,1.0
82706,4,1.0
82728,4,1.0
82740,4,1.0
82755,4,1.0
82758,4,1.0
82760,4,1.0
82775,4,1.0
56954,3,0.75
62806,3,0.75
69769,3,0.75
72794,3,0.75
73451,3,0.75
74197,3,0.75
74333,3,0.75
74812,3,0.75
76385,3,0.75
76422,3,0.75
76891,3,0.75
76989,3,0.75
77382,3,0.75
78145,3,0.75
78447,3,0.75
78502,3,0.75
78724,3,0.75
78804,3,0.75
78837,3,0.75
79319,3,0.75
79376,3,0.75
79379,3,0.75
79420,3,0.75
79796,3,0.75
79807,3,0.75
79960,3,0.75
79963,3,0.75
80138,3,0.75
80181,3,0.75
80298,3,0.75
80549,3,0.75
80597,3,0.75
80843,3,0.75
80890,3,0.75
80929,3,0.75
80939,3,0.75
80988,3,0.75
81076,3,0.75
81206,3,0.75
81214,3,0.75
81221,3,0.75
81256,3,0.75
81456,3,0.75
81546,3,0.75
81555,3,0.75
81556,3,0.75
81605,3,0.75
81713,3,0.75
81786,3,0.75
81860,3,0.75
82237,3,0.75
82318,3,0.75
82463,3,0.75
82550,3,0.75
82739,3,0.75
82750,3,0.75
62807,2,0.5
73936,2,0.5
75050,2,0.5
76251,2,0.5
76356,2,0.5
76511,2,0.5
76739,2,0.5
76971,2,0.5
76981,2,0.5
77143,2,0.5
77545,2,0.5
77996,2,0.5
78161,2,0.5
78228,2,0.5
78235,2,0.5
78304,2,0.5
78870,2,0.5
78877,2,0.5
78982,2,0.5
79256,2,0.5
79414,2,0.5
79422,2,0.5
79698,2,0.5
79724,2,0.5
79846,2,0.5
79951,2,0.5
80011,2,0.5
80027,2,0.5
80048,2,0.5
80056,2,0.5
80182,2,0.5
80529,2,0.5
80591,2,0.5
80608,2,0.5
80723,2,0.5
80778,2,0.5
80827,2,0.5
80959,2,0.5
80999,2,0.5
81049,2,0.5
81109,2,0.5
81180,2,0.5
81252,2,0.5
81280,2,0.5
81403,2,0.5
81455,2,0.5
81493,2,0.5
81513,2,0.5
81539,2,0.5
81602,2,0.5
81839,2,0.5
81930,2,0.5
81941,2,0.5
82017,2,0.5
82104,2,0.5
82108,2,0.5
82126,2,0.5
82129,2,0.5
82430,2,0.5
82754,2,0.5
11475,1,0.25
69317,1,0.25
72286,1,0.25
75995,1,0.25
76384,1,0.25
76643,1,0.25
76654,1,0.25
76742,1,0.25
77046,1,0.25
77073,1,0.25
77075,1,0.25
77267,1,0.25
77521,1,0.25
77566,1,0.25
77846,1,0.25
78090,1,0.25
78189,1,0.25
78232,1,0.25
78260,1,0.25
78307,1,0.25
78444,1,0.25
78456,1,0.25
78457,1,0.25
78504,1,0.25
78652,1,0.25
78713,1,0.25
78844,1,0.25
79082,1,0.25
79122,1,0.25
79223,1,0.25
79361,1,0.25
79363,1,0.25
79416,1,0.25
79540,1,0.25
79568,1,0.25
79572,1,0.25
79580,1,0.25
79655,1,0.25
79678,1,0.25
79713,1,0.25
79838,1,0.25
79857,1,0.25
80047,1,0.25
80156,1,0.25
80245,1,0.25
80250,1,0.25
80262,1,0.25
80323,1,0.25
80416,1,0.25
80417,1,0.25
80473,1,0.25
80500,1,0.25
80537,1,0.25
80575,1,0.25
80613,1,0.25
80880,1,0.25
80989,1,0.25
80996,1,0.25
81043,1,0.25
81046,1,0.25
81059,1,0.25
81212,1,0.25
81225,1,0.25
81251,1,0.25
81264,1,0.25
81330,1,0.25
81604,1,0.25
81650,1,0.25
81663,1,0.25
81716,1,0.25
81718,1,0.25
81722,1,0.25
81803,1,0.25
81810,1,0.25
81882,1,0.25
81900,1,0.25
81988,1,0.25
82032,1,0.25
82062,1,0.25
82197,1,0.25
82205,1,0.25
82224,1,0.25
82330,1,0.25
82368,1,0.25
82443,1,0.25
82624,1,0.25
82682,1,0.25
82683,1,0.25
