rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,81717,616.1770629882812,1.0,0,-0.5248294455562708,0.5248294455562709
2,79415,449.0477600097656,0.5255762167156611,1,-0.6179131552852114,0.6179131552852115
3,82576,713.4511108398438,0.4732379482815928,0,0.7400948331231524,-0.7400948331231525
4,81741,617.1803588867188,0.4668990550914814,1,-0.5111221388520459,0.511122138852046
5,81742,617.1839599609375,0.3713603039113523,0,-0.5065217757650217,0.5065217757650218
6,82758,734.5697631835938,0.40723467811579256,1,0.711632029840975,-0.7116320298409752
7,82063,651.5342407226562,0.30460766619271384,0,0.7397154844507319,-0.739715484450732
8,79889,478.3293762207031,0.399021121879242,1,0.6280260529289174,-0.6280260529289176
9,82589,714.4548950195312,0.20130515600741963,0,0.7473838259209445,-0.7473838259209447
10,81268,577.518798828125,0.35173520502206596,1,0.6009940257818416,-0.6009940257818416
11,82539,710.488525390625,0.2253838229541241,0,0.6739868083235718,-0.6739868083235719
12,80960,551.50341796875,0.3354014250793295,1,0.6785989187476664,-0.6785989187476663
13,78453,409.0555419921875,0.23439419701899547,0,-0.25913344069914396,0.259133440699144
14,81018,557.1637573242188,0.29106346159136764,1,-0.5203914244539605,0.5203914244539605
15,80180,496.33990478515625,0.221628315684797,0,0.316317545577986,-0.3163175455779861
16,82420,697.4774780273438,0.23710901826675515,1,0.6019939087777652,-0.6019939087777653
17,82079,652.5381469726562,0.14923704902627183,0,0.7410344781508665,-0.7410344781508666
18,81763,617.9797973632812,0.19773116188452952,1,0.36933020856086496,-0.369330208560865
19,78026,399.1444091796875,0.19231349262532518,0,-0.5211072414110623,0.5211072414110625
20,81301,580.0238037109375,0.19236807464656516,1,0.38685152587904204,-0.386851525879042
21,79668,465.0216979980469,0.15943799473999581,0,-0.5221559706551716,0.5221559706551716
22,81296,579.53466796875,0.18111893604857535,1,0.7249405725341926,-0.7249405725341926
23,81766,618.1878662109375,0.09960406331799641,0,-0.48968700935125287,0.48968700935125287
24,80569,524.370849609375,0.17700903356565745,1,-0.1283103461048444,0.12831034610484443
25,81869,627.5347290039062,0.14877826019272591,0,0.633214827562857,-0.6332148275628571
26,81836,623.5029907226562,0.17061583911124115,1,0.6085982269308853,-0.6085982269308854
27,78836,423.98193359375,0.12315187540721585,0,0.3338235087411838,-0.3338235087411838
28,82380,694.5144653320312,0.16922453227632234,1,0.5397878107309575,-0.5397878107309574
29,79421,449.2068176269531,0.07345934853417066,0,-0.026196152169140414,0.026196152169140407
30,81540,602.0059814453125,0.15746423504146473,1,0.1708698099668008,-0.17086980996680082
31,76863,366.9617614746094,0.07697718916052641,0,-0.15547290736932223,0.1554729073693222
32,82300,682.45703125,0.14349142632404283,1,-0.6694348047850857,0.6694348047850858
33,79394,448.34222412109375,0.12000248439411314,0,0.20571557852621558,-0.20571557852621564
34,82672,725.5563354492188,0.137235599069451,1,-0.7002216621529015,0.7002216621529016
35,81284,578.5226440429688,0.13710201675431102,0,0.6015568812406326,-0.6015568812406326
