rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,81717,616.1770629882812,1.0,0,-0.5248294455562708,0.5248294455562709
2,82576,713.4511108398438,0.3988966255920918,1,0.7400948331231524,-0.7400948331231525
3,81741,617.1803588867188,0.4556320297502624,0,-0.5111221388520459,0.511122138852046
4,81742,617.1839599609375,0.3610981093974607,1,-0.5065217757650217,0.5065217757650218
5,82758,734.5697631835938,0.29180840934681895,0,0.711632029840975,-0.7116320298409752
6,80960,551.50341796875,0.24091970366589,1,0.6785989187476664,-0.6785989187476663
7,81018,557.1637573242188,0.23113975866899356,0,-0.5203914244539605,0.5203914244539605
8,81268,577.518798828125,0.21214090068894212,1,0.6009940257818416,-0.6009940257818416
9,79889,478.3293762207031,0.2117943458948503,0,0.6280260529289174,-0.6280260529289176
10,82420,697.4774780273438,0.16958911905526572,1,0.6019939087777652,-0.6019939087777653
11,82063,651.5342407226562,0.16733346402953278,0,0.7397154844507319,-0.739715484450732
12,82589,714.4548950195312,0.16701654651508233,1,0.7473838259209445,-0.7473838259209447
13,79415,449.0477600097656,0.12305158256905385,0,-0.6179131552852114,0.6179131552852115
14,82539,710.488525390625,0.14979438570389284,1,0.6739868083235718,-0.6739868083235719
15,81766,618.1878662109375,0.11434625079499905,0,-0.48968700935125287,0.48968700935125287
16,81296,579.53466796875,0.10482746338338955,1,0.7249405725341926,-0.7249405725341926
17,82728,731.6066284179688,0.10555229093121517,0,0.6307097966644801,-0.6307097966644801
18,80978,552.5068969726562,0.0892833694926845,1,0.6761033760543317,-0.6761033760543318
19,82672,725.5563354492188,0.1033062244091327,0,-0.7002216621529015,0.7002216621529016
20,81095,562.3269653320312,0.07402534639835706,1,-0.2648110863577698,0.2648110863577698
21,81029,558.1666870117188,0.08793592459886523,0,-0.5206484764053574,0.5206484764053575
22,81284,578.5226440429688,0.07275150432783488,1,0.6015568812406326,-0.6015568812406326
23,80212,498.1500244140625,0.08625162167254184,0,-0.5053167232253131,0.5053167232253131
24,79668,465.0216979980469,0.07136312482862184,1,-0.5221559706551716,0.5221559706551716
25,78981,428.0367126464844,0.08039995486924303,0,-0.0518172353750287,0.0518172353750287
26,80569,524.370849609375,0.07912344753041084,1,-0.1283103461048444,0.12831034610484443
27,82079,652.5381469726562,0.07800233730535978,0,0.7410344781508665,-0.7410344781508666
28,80276,502.9778137207031,0.06631378033224264,1,-0.34753954498988204,0.34753954498988204
29,82775,735.5729370117188,0.076976358090165,0,0.7041578013297488,-0.704157801329749
30,82426,698.4815063476562,0.06509374084791672,1,0.6024872478517864,-0.6024872478517864
31,82455,703.5741577148438,0.0760546311343004,0,-0.6769263333136928,0.6769263333136929
32,82380,694.5144653320312,0.06505695379990735,1,0.5397878107309575,-0.5397878107309574
33,82300,682.45703125,0.07441985955620334,0,-0.6694348047850857,0.6694348047850858
34,82551,711.4911499023438,0.06372690119527524,1,0.6760891569437907,-0.6760891569437908
35,81118,564.2484130859375,0.07380037853778033,0,0.7683035940316644,-0.7683035940316646
36,76863,366.9617614746094,0.07236914583061561,1,-0.15547290736932223,0.1554729073693222
37,80839,544.1551513671875,0.07182988570738537,0,-0.5139043050190011,0.5139043050190011
38,80180,496.33990478515625,0.05927432332148723,1,0.316317545577986,-0.3163175455779861
39,80195,497.1420593261719,0.06736447100915238,0,-0.5043455101909248,0.5043455101909249
40,61508,141.1545867919922,0.059194268459403954,1,0.010601992978861071,-0.010601992978861063
41,82651,723.4937744140625,0.06605371123818017,0,0.3774871620594534,-0.3774871620594534
42,80717,534.2954711914062,0.05835221095519983,1,0.308127708242838,-0.3081277082428381
