rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,81717,616.1770629882812,1.0,0,-0.5248294455562708,0.5248294455562709
2,81741,617.1803588867188,0.4197792597562295,1,-0.5111221388520459,0.511122138852046
3,82576,713.4511108398438,0.6632677057511597,0,0.7400948331231524,-0.7400948331231525
4,78453,409.0555419921875,0.4726576823241113,0,-0.25913344069914396,0.259133440699144
5,81268,577.518798828125,0.3102295074767737,1,0.6009940257818416,-0.6009940257818416
6,82589,714.4548950195312,0.2874787297788995,0,0.7473838259209445,-0.7473838259209447
7,81018,557.1637573242188,0.23661795147714293,1,-0.5203914244539605,0.5203914244539605
8,82539,710.488525390625,0.2791659418519864,0,0.6739868083235718,-0.6739868083235719
9,82758,734.5697631835938,0.22764254786435315,1,0.711632029840975,-0.7116320298409752
10,82063,651.5342407226562,0.23246095280266274,0,0.7397154844507319,-0.739715484450732
11,82380,694.5144653320312,0.22552498878508753,1,0.5397878107309575,-0.5397878107309574
12,79415,449.0477600097656,0.22919998321898674,0,-0.6179131552852114,0.6179131552852115
13,82420,697.4774780273438,0.22043792806477258,1,0.6019939087777652,-0.6019939087777653
14,80960,551.50341796875,0.2283919667781823,0,0.6785989187476664,-0.6785989187476663
15,79889,478.3293762207031,0.19110798558834124,1,0.6280260529289174,-0.6280260529289176
16,80180,496.33990478515625,0.19080180058305826,0,0.316317545577986,-0.3163175455779861
17,78503,410.0587158203125,0.12247966087543805,1,-0.21241037983957106,0.21241037983957103
18,78026,399.1444091796875,0.15119968471688064,0,-0.5211072414110623,0.5211072414110625
19,82672,725.5563354492188,0.11665307034280911,1,-0.7002216621529015,0.7002216621529016
20,81296,579.53466796875,0.13374049687039838,0,0.7249405725341926,-0.7249405725341926
21,81284,578.5226440429688,0.1042715872618016,1,0.6015568812406326,-0.6015568812406326
22,81869,627.5347290039062,0.1014258822056446,0,0.633214827562857,-0.6332148275628571
23,81766,618.1878662109375,0.10000076612536155,1,-0.48968700935125287,0.48968700935125287
24,79665,464.9471130371094,0.10060574910303927,0,-0.5969998057977056,0.5969998057977057
25,82455,703.5741577148438,0.09518620507459902,1,-0.6769263333136928,0.6769263333136929
26,82079,652.5381469726562,0.09998178711072331,0,0.7410344781508665,-0.7410344781508666
27,81029,558.1666870117188,0.08959469039646205,1,-0.5206484764053574,0.5206484764053575
28,80509,520.3392944335938,0.09111807515878255,0,-0.5789472771618441,0.5789472771618442
29,81301,580.0238037109375,0.08932994123584366,1,0.38685152587904204,-0.386851525879042
30,81763,617.9797973632812,0.090272397715914,0,0.36933020856086496,-0.369330208560865
31,77858,394.1260070800781,0.08659101056534076,1,-0.6488359029328211,0.6488359029328211
32,82551,711.4911499023438,0.08948034904835349,0,0.6760891569437907,-0.6760891569437908
33,82426,698.4815063476562,0.08544909614504752,1,0.6024872478517864,-0.6024872478517864
34,79888,478.3240051269531,0.08677412387419517,0,0.5190937857531975,-0.5190937857531978
35,80212,498.1500244140625,0.08523501723672497,1,-0.5053167232253131,0.5053167232253131
36,82300,682.45703125,0.08616558681228675,0,-0.6694348047850857,0.6694348047850858
37,82728,731.6066284179688,0.08298205576788903,1,0.6307097966644801,-0.6307097966644801
38,80272,502.3290100097656,0.08262324539880267,0,-0.5885614139390185,0.5885614139390185
39,82392,695.5178833007812,0.08264157648421426,1,0.5518558080117594,-0.5518558080117594
40,80978,552.5068969726562,0.08039408689697024,0,0.6761033760543317,-0.6761033760543318
41,80857,545.0712890625,0.07781749708710017,1,-0.2025644504571109,0.20256445045711094
42,76863,366.9617614746094,0.07983860504058048,0,-0.15547290736932223,0.1554729073693222
43,80569,524.370849609375,0.07344586001010335,1,-0.1283103461048444,0.12831034610484443
44,79668,465.0216979980469,0.07962143717907234,0,-0.5221559706551716,0.5221559706551716
45,80195,497.1420593261719,0.07220005412683966,1,-0.5043455101909248,0.5043455101909249
46,82601,715.4579467773438,0.0768961612940521,0,0.7526491204992178,-0.752649120499218
47,82671,725.5081787109375,0.07027153734615472,1,0.7328096877426622,-0.7328096877426622
48,78836,423.98193359375,0.07434854865129571,0,0.3338235087411838,-0.3338235087411838
49,80839,544.1551513671875,0.07023186955568105,1,-0.5139043050190011,0.5139043050190011
50,79805,472.00042724609375,0.07414952505553589,0,-0.461103388352834,0.46110338835283404
