rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,78088,400.3420104980469,1.0,0,-0.7183338594470353,0.7183338594470353
2,82758,734.5697631835938,0.9523772170268725,1,0.5105034457989365,-0.5105034457989365
3,79013,428.3732604980469,0.5539305114276929,0,-0.7541469624500158,0.7541469624500158
4,78932,426.3575744628906,0.5659160984306649,1,-0.7491060094804395,0.7491060094804395
5,78861,424.3421325683594,0.2983283377142633,0,-0.7564389208234021,0.7564389208234021
6,78453,409.0555419921875,0.4875088159304471,1,0.05804238842164261,-0.05804238842164261
7,78145,401.3455810546875,0.2572961414192421,0,-0.7138879606284527,0.7138879606284527
8,82775,735.5729370117188,0.430957302818312,1,0.49125777464439996,-0.49125777464439996
9,82420,697.4774780273438,0.21536098570733508,0,0.5367441337605923,-0.5367441337605923
10,76863,366.9617614746094,0.42826288916667515,1,-0.1990358081394902,0.19903580813949018
11,82539,710.488525390625,0.31646411214349923,0,0.42868751148332535,-0.42868751148332535
12,82576,713.4511108398438,0.2513669943060696,1,0.5132341943637184,-0.5132341943637184
13,77996,398.326416015625,0.1859539842699481,0,-0.7135326929547466,0.7135326929547466
14,80180,496.33990478515625,0.23419716554847136,1,0.46883997607749284,-0.46883997607749284
15,79062,429.3766174316406,0.16064139252992704,0,-0.7620720785802539,0.7620720785802539
16,79415,449.0477600097656,0.230418619068233,1,0.022388188214460467,-0.022388188214460474
17,78967,427.36090087890625,0.1590871736889744,0,-0.74494796298883,0.74494796298883
18,81717,616.1770629882812,0.22519317665775973,1,0.069715588495338,-0.069715588495338
19,82486,706.5377807617188,0.13850368400875337,0,-0.8188493070014519,0.818849307001452
20,77129,372.31072998046875,0.15882506142962444,1,-0.6577533264317614,0.6577533264317614
21,81869,627.5347290039062,0.11195287112522018,0,0.47926980100674405,-0.47926980100674405
22,80295,503.94818115234375,0.15015136869669263,1,-0.5539735065605601,0.5539735065605601
23,78898,425.3453369140625,0.08428012602142852,0,-0.7540686097662183,0.7540686097662183
24,78836,423.98193359375,0.13926606577579526,1,0.03883018695000786,-0.03883018695000786
25,80608,527.0701293945312,0.08349335888103213,0,-0.677793449002655,0.6777934490026551
26,82780,736.5762939453125,0.1328803032105242,1,0.4896603772374222,-0.4896603772374222
27,82728,731.6066284179688,0.09534641576878672,0,0.5043100787804634,-0.5043100787804634
28,80717,534.2954711914062,0.1311042718406248,1,0.44560232122495425,-0.44560232122495425
29,80589,525.9302368164062,0.11463495304729407,0,-0.44440487439582704,0.44440487439582704
30,79421,449.2068176269531,0.12958154232685734,1,0.10348602394707061,-0.10348602394707061
31,82739,732.5538940429688,0.08917172150193829,0,-0.5691986490485674,0.5691986490485674
32,80276,502.9778137207031,0.12913551704575352,1,-0.3105216619490884,0.3105216619490884
33,81763,617.9797973632812,0.11588981092896804,0,-0.06432049341552395,0.06432049341552394
34,77056,370.0522155761719,0.1245139796889806,1,0.15447421237423659,-0.15447421237423659
35,81540,602.0059814453125,0.0889806894090773,0,0.02231523901893612,-0.02231523901893612
36,81742,617.1839599609375,0.12151059392951058,1,0.11828529069718002,-0.11828529069718002
37,71975,200.17294311523438,0.06824857513412351,0,-0.7165440815888965,0.7165440815888965
38,82380,694.5144653320312,0.11857531468726275,1,0.42586303375160306,-0.42586303375160306
39,82426,698.4815063476562,0.06598243925912689,0,0.5352617204464074,-0.5352617204464074
40,82063,651.5342407226562,0.11808708348459517,1,0.5235997176370044,-0.5235997176370044
41,78089,400.3472900390625,0.06445602585199531,0,-0.7281471331356566,0.7281471331356566
42,81095,562.3269653320312,0.11481205652277152,1,0.16849014569694495,-0.16849014569694495
43,80789,541.904296875,0.10975460871418521,0,-0.6104483096674307,0.6104483096674307
44,82551,711.4911499023438,0.11396759540329096,1,0.4886099053531295,-0.4886099053531295
45,78087,400.3382568359375,0.06312296328667664,0,-0.6115466253859612,0.6115466253859612
46,79889,478.3293762207031,0.11151885603159983,1,0.4927997888911376,-0.4927997888911376
47,80053,487.9745178222656,0.104417063042691,0,-0.3282813524401131,0.3282813524401131
48,78981,428.0367126464844,0.1077635681315003,1,-0.0849205883632908,0.0849205883632908
49,81296,579.53466796875,0.056778090498747824,0,0.554594999199706,-0.554594999199706
50,79438,450.0186767578125,0.10608946992104022,1,-0.13530970009578433,0.13530970009578433
51,82497,707.541015625,0.061148642225112106,0,-0.8143116665062795,0.8143116665062795
52,81741,617.1803588867188,0.09165701796703207,1,0.07430714147240443,-0.07430714147240443
53,81875,628.5382690429688,0.05309620430742126,0,0.47474965913599754,-0.47474965913599754
54,82589,714.4548950195312,0.0890212039985302,1,0.5154505943485523,-0.5154505943485523
