rank,bin_index,mz,score,pcc_class_1,pcc_class_2
1,82269,679.5094604492188,1.3750942945480347,-0.3200531747422336,0.3200531747422336
2,82257,676.54638671875,1.3600170612335205,-0.214311487349604,0.214311487349604
3,82248,675.5433349609375,1.3446528911590576,-0.6111662322138205,0.6111662322138205
4,79793,471.103759765625,1.32929265499115,-0.02980376711517309,0.02980376711517309
5,81078,561.3615112304688,1.3256199359893799,-0.3254060170194894,0.3254060170194894
6,81845,625.0562744140625,1.319928765296936,-0.040240212287548885,0.040240212287548885
7,82093,654.4255981445312,1.3034611940383911,-0.5491560269329758,0.5491560269329758
8,79924,480.40484619140625,1.2983973026275635,-0.18982010662044624,0.18982010662044624
9,79291,443.05084228515625,1.2970871925354004,-0.589289281055224,0.589289281055224
10,78641,414.98150634765625,1.2919338941574097,-0.39321845484856816,0.39321845484856816
11,78956,427.0773010253906,1.2903543710708618,-0.7494110028250637,0.7494110028250637
12,80535,522.3187866210938,1.2852362394332886,-0.2988876294718944,0.2988876294718944
13,82475,705.5257568359375,1.2833455801010132,-0.3488172972287367,0.3488172972287367
14,77263,377.02587890625,1.2769081592559814,-0.39121735474973773,0.39121735474973773
15,82421,697.5254516601562,1.265403389930725,-0.041924315275390665,0.041924315275390665
16,79844,475.0858154296875,1.2577306032180786,-0.2297513971712532,0.2297513971712532
17,80718,534.3424072265625,1.2573333978652954,-0.38199411264612126,0.38199411264612126
18,82121,657.3883056640625,1.25627601146698,-0.27558301762615656,0.27558301762615656
19,76702,353.287841796875,1.2536817789077759,-0.658367882778998,0.658367882778998
20,81314,581.0910034179688,1.2491064071655273,-0.2996275759624506,0.2996275759624506
21,78014,399.0075988769531,1.246492624282837,-0.3571839407365422,0.3571839407365422
22,80846,544.9011840820312,1.2385618686676025,-0.32499850907351424,0.32499850907351424
23,81054,559.9037475585938,1.2363662719726562,-0.24517873867116002,0.24517873867116002
24,81065,560.8870239257812,1.236198902130127,-0.46771854553962383,0.46771854553962383
25,82620,717.9004516601562,1.232931137084961,-0.28021184757640427,0.28021184757640427
26,82577,713.4989013671875,1.2314485311508179,-0.029803767115172648,0.029803767115172648
27,82590,714.5028076171875,1.224543809890747,-0.02980376711517292,0.02980376711517292
28,79819,472.8684997558594,1.2122970819473267,-0.281928739281533,0.281928739281533
29,81837,623.8682250976562,1.2112207412719727,-0.5282368233664083,0.5282368233664083
30,80343,505.4080810546875,1.2105929851531982,-0.49077086649403623,0.49077086649403623
31,82727,731.5413208007812,1.2094671726226807,-0.3003865966380254,0.3003865966380254
32,79270,441.8996887207031,1.2039573192596436,-0.2547940766558566,0.2547940766558566
33,36,107.09576416015625,1.1983402967453003,-0.41373931727825664,0.41373931727825664
34,79941,481.9351501464844,1.198236107826233,-0.2016754102432773,0.2016754102432773
35,82460,703.94384765625,1.1981267929077148,-0.48648726026148204,0.48648726026148204
36,81321,581.885498046875,1.1886205673217773,-0.32628212559036623,0.32628212559036623
37,81511,599.90966796875,1.1791667938232422,-0.4892602224112195,0.4892602224112195
38,80911,547.9744262695312,1.1745038032531738,-0.36268314814620817,0.36268314814620817
39,82003,643.8405151367188,1.1705671548843384,-0.4694115064634738,0.4694115064634738
40,82262,678.5062866210938,1.1662448644638062,-0.7569093381886358,0.7569093381886358
41,80980,552.9564819335938,1.1626166105270386,-0.4145656781700787,0.4145656781700787
42,82346,687.9827270507812,1.160988688468933,-0.0779082519934127,0.0779082519934127
43,78636,414.3631896972656,1.1609851121902466,-0.3632572111775356,0.3632572111775356
44,82219,670.4501342773438,1.1583255529403687,-0.838460581873382,0.838460581873382
45,81618,607.8950805664062,1.1569856405258179,-0.5442398552102838,0.5442398552102838
46,79212,438.88427734375,1.1550371646881104,-0.3052227087353827,0.3052227087353827
47,82191,665.988525390625,1.1539158821105957,-0.3380551388066778,0.3380551388066778
48,78305,406.0984802246094,1.1515779495239258,-0.4976631097239336,0.4976631097239336
49,80479,517.8927001953125,1.1503877639770508,-0.6434211255034669,0.6434211255034669
50,82491,706.8484497070312,1.1494836807250977,-0.18076541825905681,0.18076541825905681
