rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,82486,706.5377807617188,1.0,0,-0.8836807342871101,0.8836807342871101
2,81717,616.1770629882812,1.0,1,0.018564064536408045,-0.018564064536408045
3,82455,703.5741577148438,0.7055942204421924,0,-0.8643092832570208,0.8643092832570208
4,82576,713.4511108398438,0.7869569377942737,1,0.7319582428142676,-0.7319582428142676
5,82300,682.45703125,0.6275198922926761,0,-0.9007941473384857,0.9007941473384857
6,78981,428.0367126464844,0.48519342631140094,1,-0.7183445107720389,0.7183445107720389
7,82739,732.5538940429688,0.5372289489179852,0,-0.8582777101229646,0.8582777101229646
8,77564,386.02606201171875,0.44967365430918604,1,0.3405526074354022,-0.3405526074354022
9,82325,685.42041015625,0.45795637476301926,0,-0.9216505926645372,0.9216505926645372
10,78836,423.98193359375,0.4434981743630331,1,0.21379836959351636,-0.21379836959351636
11,79926,480.9211120605469,0.44980564614004326,0,-0.9116036788883662,0.9116036788883662
12,80608,527.0701293945312,0.4351346587932854,1,-0.8223244140749599,0.8223244140749599
13,80295,503.94818115234375,0.4388358311743247,0,-0.8247735573948974,0.8247735573948974
14,81741,617.1803588867188,0.4008444069371214,1,0.02670934629966219,-0.02670934629966219
15,82497,707.541015625,0.42774153891441,0,-0.8886251742005461,0.8886251742005461
16,80960,551.50341796875,0.3846182671849356,1,0.7932883163921503,-0.7932883163921503
17,82063,651.5342407226562,0.4145941062028516,0,0.7422988723052607,-0.7422988723052607
18,81742,617.1839599609375,0.369323199793862,1,0.05569652965011837,-0.05569652965011837
19,81347,583.9143676757812,0.37541168482957304,0,-0.8910686068422031,0.8910686068422031
20,78373,408.0080261230469,0.35849323024108076,1,0.40119831685861024,-0.40119831685861024
21,81172,567.927978515625,0.37492725731413074,0,-0.8944923219636183,0.8944923219636183
22,81592,605.5501098632812,0.35349110705967784,1,0.4608401007473247,-0.4608401007473247
23,81594,605.88427734375,0.3365146083937229,0,-0.8938889190202354,0.8938889190202354
24,81268,577.518798828125,0.34174006428355336,1,0.7154989321203352,-0.7154989321203352
