rank,bin_index,mz,score,pcc_class_1,pcc_class_2
1,81356,584.1937866210938,2.5368762016296387,0.09780828475087135,-0.09780828475087135
2,79786,470.3838806152344,2.431633472442627,-0.33258780809095406,0.33258780809095423
3,79818,472.3997497558594,2.421279191970825,-0.3209286873940493,0.32092868739404934
4,81980,641.0986938476562,2.3797054290771484,0.19168128017815117,-0.19168128017815117
5,82059,651.2006225585938,2.363889217376709,0.23915586809431752,-0.23915586809431755
6,81805,620.8128051757812,2.3087844848632812,-0.3313580221271397,0.3313580221271397
7,79831,473.4028625488281,2.2746376991271973,-0.15715802852617705,0.15715802852617705
8,82791,737.9746704101562,2.2618072032928467,0.011912757889201195,-0.011912757889201198
9,82089,654.3250732421875,2.2589197158813477,0.13769835358069885,-0.13769835358069887
10,76733,356.78607177734375,2.232147216796875,0.23779518485755738,-0.23779518485755738
11,82225,672.3355102539062,2.2305498123168945,0.08513995539737099,-0.085139955397371
12,80921,548.780517578125,2.2193450927734375,-0.3572527915291031,0.3572527915291031
13,82590,714.5028076171875,2.1586291790008545,-0.5777016518314241,0.5777016518314241
14,45917,129.95712280273438,2.1557466983795166,-0.020215110854791975,0.02021511085479197
15,79803,471.3872985839844,2.1457979679107666,-0.1619061445396256,0.1619061445396256
16,82577,713.4989013671875,2.138787031173706,-0.6413601050275745,0.6413601050275745
17,82602,715.514404296875,2.136699676513672,-0.40808458068599585,0.40808458068599585
18,81158,566.8956909179688,2.1162197589874268,-0.2808536004872927,0.2808536004872927
19,78834,423.95660400390625,2.1146702766418457,-0.328179578074413,0.328179578074413
20,81407,587.8931274414062,2.0872695446014404,-0.1417023413514336,0.1417023413514336
21,82133,659.110107421875,2.0846376419067383,0.07662143765597935,-0.07662143765597938
22,82727,731.5413208007812,2.082718849182129,-0.591647762671984,0.591647762671984
23,82118,657.2351684570312,2.0794646739959717,0.19247733618003654,-0.19247733618003648
24,82271,680.0496215820312,2.0786471366882324,-0.015844696590097428,0.01584469659009743
25,82311,683.1618041992188,2.0783472061157227,-0.23578964051858128,0.23578964051858128
26,81838,623.8855590820312,2.0704290866851807,-0.3741114187946327,0.3741114187946327
27,82585,714.1519165039062,2.07035756111145,0.054418436222711725,-0.054418436222711725
28,82618,717.4652099609375,2.0651803016662598,-0.41658995756948725,0.41658995756948725
29,82102,655.4293212890625,2.0637834072113037,-0.518497129060031,0.5184971290600311
30,82538,710.42333984375,2.062307357788086,-0.3062612281231148,0.3062612281231148
31,81315,581.1036987304688,2.061969757080078,0.00847338862051187,-0.00847338862051187
32,80551,523.5280151367188,2.060335874557495,-0.4730820734819163,0.4730820734819163
33,81320,581.8727416992188,2.0593364238739014,-0.4361275403146298,0.4361275403146298
34,41981,128.34246826171875,2.0443997383117676,0.009749778981016331,-0.009749778981016336
35,82257,676.54638671875,2.0359103679656982,-0.38911794458607857,0.3891179445860786
36,81961,638.7974853515625,2.033780097961426,-0.21705928788107673,0.21705928788107676
37,80931,549.9373168945312,2.033505916595459,0.01198229148668474,-0.01198229148668474
38,57548,136.74021911621094,2.032630681991577,0.030678841674272272,-0.03067884167427228
39,82111,656.4412231445312,2.0292038917541504,-0.5655385190496941,0.5655385190496941
40,77561,385.9984436035156,2.0269994735717773,-0.5069549170821978,0.5069549170821978
41,81200,569.9443969726562,2.0260009765625,-0.3639140648459563,0.3639140648459563
42,76726,356.6669006347656,2.0255014896392822,0.08676633934354788,-0.08676633934354784
43,81958,638.451904296875,2.0244059562683105,-0.43259048875600337,0.43259048875600337
44,82421,697.5254516601562,2.020632743835449,-0.45797404402260183,0.45797404402260183
45,81149,566.1484375,2.016602039337158,0.21218338648066845,-0.21218338648066845
46,76624,342.24072265625,2.0159270763397217,-0.5363539617802833,0.5363539617802833
47,82357,689.4902954101562,2.0140368938446045,0.14054761411181937,-0.14054761411181937
48,58973,138.00961303710938,2.010793447494507,0.014493964862038392,-0.014493964862038395
49,82668,725.4513549804688,2.004981756210327,-0.15142915248357433,0.15142915248357433
50,82767,735.2454223632812,2.003981113433838,0.021893110019408468,-0.021893110019408475
