rank,bin_index,mz,score,source_component,pcc_class_1,pcc_class_2
1,79013,428.3732604980469,1.0,0,-0.7646998106331956,0.7646998106331956
2,82576,713.4511108398438,1.0,1,0.650402336802232,-0.650402336802232
3,78088,400.3420104980469,0.8767942172689787,0,-0.6838683212897473,0.6838683212897473
4,81717,616.1770629882812,0.6740891985238715,1,0.10923097706814286,-0.10923097706814286
5,78932,426.3575744628906,0.6639182652991334,0,-0.8184514197142945,0.8184514197142945
6,78836,423.98193359375,0.6160262799638391,1,0.1871305444917048,-0.1871305444917048
7,82300,682.45703125,0.6180363128715806,0,-0.8985567437108679,0.8985567437108679
8,82589,714.4548950195312,0.3877556222771541,1,0.6540609243865542,-0.6540609243865542
9,82758,734.5697631835938,0.5198476707989959,0,0.738301718938483,-0.7383017189384831
10,78453,409.0555419921875,0.32577386969094696,1,0.3624295589129346,-0.3624295589129346
11,80960,551.50341796875,0.32100654606011864,0,0.7162937746099847,-0.7162937746099847
12,76863,366.9617614746094,0.2522387825976435,1,-0.6126576930098794,0.6126576930098795
13,82539,710.488525390625,0.31155715177463766,0,0.6292226963022126,-0.6292226963022126
14,77564,386.02606201171875,0.25200325406699775,1,0.536997982611583,-0.536997982611583
15,81816,621.8703002929688,0.27948736749641817,0,-0.8640928727731421,0.8640928727731421
16,81742,617.1839599609375,0.2486563853446657,1,0.1622481479096223,-0.1622481479096223
17,82455,703.5741577148438,0.2771630443430139,0,-0.7902829906975806,0.7902829906975806
18,81347,583.9143676757812,0.2661215110023196,1,-0.8822403054086088,0.8822403054086088
19,79062,429.3766174316406,0.27604780091137887,0,-0.766152350701996,0.766152350701996
20,82063,651.5342407226562,0.22151061934318061,1,0.6738182935887143,-0.6738182935887143
21,82315,683.4598999023438,0.24931604896271256,0,-0.8969001871182013,0.8969001871182014
22,82004,643.8521728515625,0.24370209859009076,1,-0.8592970549207455,0.8592970549207455
23,81595,605.8963012695312,0.2435194713905872,0,-0.8577342694997095,0.8577342694997095
24,78373,408.0080261230469,0.19039482453848844,1,0.379316924689236,-0.379316924689236
25,78145,401.3455810546875,0.20229602226855747,0,-0.6750474787300967,0.6750474787300967
26,77481,384.0028076171875,0.18927018353677547,1,-0.8609912027185842,0.8609912027185843
27,79889,478.3293762207031,0.20072260371880796,0,0.7075202580996126,-0.7075202580996126
28,80313,504.3448791503906,0.18595289221026784,1,0.5745621586824989,-0.5745621586824989
29,78967,427.36090087890625,0.1873330202989499,0,-0.8167412980751467,0.8167412980751467
30,82420,697.4774780273438,0.1813627636181037,1,0.6796536142159464,-0.6796536142159464
31,81594,605.88427734375,0.18350153087371734,0,-0.8934482675157878,0.8934482675157878
32,82139,659.8267211914062,0.1626714426228001,0,-0.8733136257379954,0.8733136257379954
33,78026,399.1444091796875,0.17887028607608849,1,-0.7317353486866006,0.7317353486866006
34,82672,725.5563354492188,0.15346670060383272,0,-0.8874699811376363,0.8874699811376363
35,79421,449.2068176269531,0.17411853174746836,1,0.3321540468319408,-0.33215404683194083
36,82775,735.5729370117188,0.15201351406211905,0,0.7273314982942505,-0.7273314982942505
37,81268,577.518798828125,0.14243886187873794,1,0.6709899865682345,-0.6709899865682345
38,77129,372.31072998046875,0.14049890322383077,0,-0.06969949646253204,0.06969949646253204
39,80180,496.33990478515625,0.13583357175394836,1,0.7049798534933763,-0.7049798534933763
40,82275,680.4417114257812,0.13621648532776,0,-0.9062301297797704,0.9062301297797704
41,80717,534.2954711914062,0.13279177181265386,1,0.568494601121272,-0.5684946011212723
42,82468,704.5783081054688,0.13573744687837422,0,-0.7843374107675056,0.7843374107675056
43,79233,439.97705078125,0.1314526580653798,1,0.1972480271620728,-0.19724802716207282
44,80874,545.9591064453125,0.1310801903078664,0,-0.8796001280691517,0.8796001280691517
45,82079,652.5381469726562,0.12926481793346692,1,0.6822947434641286,-0.6822947434641287
46,81172,567.927978515625,0.13070223479589116,0,-0.8879152130624685,0.8879152130624685
47,81301,580.0238037109375,0.12470343655155368,1,-0.39890714628707674,0.39890714628707674
48,82198,666.4834594726562,0.13067042357276698,0,-0.8666430011612073,0.8666430011612073
49,78503,410.0587158203125,0.12197508863777422,1,0.32921166577120353,-0.32921166577120353
50,79926,480.9211120605469,0.12661758024161882,0,-0.898757353255692,0.898757353255692
