component,rank,bin_index,mz,combined_absolute_ig,central_absolute_ig,context_absolute_ig,central_signed_ig,context_signed_ig,first_layer_combined_l2
0,1,82758,734.5697631835938,0.0002549687633290887,0.0002549687633290887,0.0,0.0002549687633290887,0.0,0.5426586270332336
0,2,81717,616.1770629882812,0.00020074880740139633,0.00020074880740139633,0.0,0.00019976944895461202,0.0,0.4587293863296509
0,3,82576,713.4511108398438,0.00018791838374454528,0.00018791838374454528,0.0,0.00018791838374454528,0.0,0.49771109223365784
0,4,80960,551.50341796875,0.00014197321434039623,0.00014197321434039623,0.0,0.00014197321434039623,0.0,0.5054973363876343
0,5,82063,651.5342407226562,0.00011072027700720355,0.00011072027700720355,0.0,0.00011072027700720355,0.0,0.6604926586151123
0,6,82420,697.4774780273438,0.0001089643410523422,0.0001089643410523422,0.0,0.0001089643410523422,0.0,0.5778940320014954
0,7,82539,710.488525390625,0.00010550805745879188,0.00010550805745879188,0.0,0.00010550805745879188,0.0,0.5368530750274658
0,8,79415,449.0477600097656,9.727037831908092e-05,9.727037831908092e-05,0.0,9.077752474695444e-05,0.0,0.4057944118976593
0,9,79889,478.3293762207031,9.17059660423547e-05,9.17059660423547e-05,0.0,8.805140532786027e-05,0.0,0.39014020562171936
0,10,81741,617.1803588867188,8.483571582473814e-05,8.483571582473814e-05,0.0,8.468480518786237e-05,0.0,0.43698394298553467
0,11,82728,731.6066284179688,8.201409946195781e-05,8.201409946195781e-05,0.0,8.201409946195781e-05,0.0,0.6221288442611694
0,12,79668,465.0216979980469,8.048973541008309e-05,8.048973541008309e-05,0.0,6.699803634546697e-05,0.0,0.34520307183265686
0,13,78981,428.0367126464844,7.97026077634655e-05,7.97026077634655e-05,0.0,5.630807663692394e-06,0.0,0.5436208248138428
0,14,82589,714.4548950195312,7.957703928695992e-05,7.957703928695992e-05,0.0,7.957703928695992e-05,0.0,0.5013634562492371
0,15,81742,617.1839599609375,7.911831926321611e-05,7.911831926321611e-05,0.0,7.775672565912828e-05,0.0,0.45547249913215637
0,16,82775,735.5729370117188,7.482354703824967e-05,7.482354703824967e-05,0.0,7.482354703824967e-05,0.0,0.5500068068504333
0,17,80295,503.94818115234375,7.149278098950163e-05,7.149278098950163e-05,0.0,1.2409112969180569e-05,0.0,0.41635775566101074
0,18,82380,694.5144653320312,7.109189027687535e-05,7.109189027687535e-05,0.0,7.109189027687535e-05,0.0,0.6073265075683594
0,19,80857,545.0712890625,6.16595134488307e-05,6.16595134488307e-05,0.0,5.6981018133228645e-05,0.0,0.3423651158809662
0,20,80978,552.5068969726562,5.774310193373822e-05,5.774310193373822e-05,0.0,5.774310193373822e-05,0.0,0.5097835659980774
0,21,80180,496.33990478515625,5.5691838497295976e-05,5.5691838497295976e-05,0.0,5.5691838497295976e-05,0.0,0.34759026765823364
0,22,82079,652.5381469726562,5.452801633509807e-05,5.452801633509807e-05,0.0,5.452801633509807e-05,0.0,0.6619349122047424
0,23,78452,409.0516357421875,5.394207619247027e-05,5.394207619247027e-05,0.0,3.7298879760783166e-05,0.0,0.43241795897483826
0,24,80589,525.9302368164062,5.391035301727243e-05,5.391035301727243e-05,0.0,1.2495147529989481e-05,0.0,0.44274482131004333
0,25,80276,502.9778137207031,5.3596304496750236e-05,5.3596304496750236e-05,0.0,2.7256401153863408e-05,0.0,0.3258174955844879
0,26,80717,534.2954711914062,5.0263766752323136e-05,5.0263766752323136e-05,0.0,5.0263766752323136e-05,0.0,0.4427589774131775
0,27,78453,409.0555419921875,4.932684532832354e-05,4.932684532832354e-05,0.0,4.4465679820859805e-05,0.0,0.345721036195755
0,28,80053,487.9745178222656,4.932474621455185e-05,4.932474621455185e-05,0.0,1.958680513780564e-05,0.0,0.40914666652679443
0,29,80920,548.540283203125,4.8192352551268414e-05,4.8192352551268414e-05,0.0,4.8192352551268414e-05,0.0,0.6233701705932617
0,30,79926,480.9211120605469,4.664408334065229e-05,4.664408334065229e-05,0.0,2.1836762243765406e-05,0.0,0.4496447741985321
